,product name,price in rupees,rating,availability,link
0,"Zelt Sl 2.0 M Running Shoes For Men  (Blue, Black)",2064,4.3,available,https://www.flipkart.com/adidas-zelt-sl-2-0-m-running-shoes-men/p/itmfd3hu4rvsbsze?pid=SHOFD3HUGQ53874G&lid=LSTSHOFD3HUGQ53874GEMZX4J&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size&otracker=nmenu_sub_Men_0_Footwear
1,Nerf Rival Blaster Jupiter XIX-1000 Edge Series with Target and 10 Rounds Guns & Darts  (Multicolor),6391,4.4,available,https://www.flipkart.com/nerf-rival-blaster-jupiter-xix-1000-edge-series-target-10-rounds-guns-darts/p/itm11279f39b775b?pid=TWPFQUJCH3G8BKVF&lid=LSTTWPFQUJCH3G8BKVFWK8LQT&marketplace=FLIPKART&store=mgl%2Fgsh&srno=b_1_2&otracker=browse&fm=organic&iid=en_LjFwqdCVWd8fMf6QnnMuSyMCtsCirvY7W5xEyhZOqfIyJx112FPlz3pz5jJ84kWfii%2B99TXRHrZnVdYSOYKpfw%3D%3D&ppt=None&ppn=None&ssid=ovnjhphbk00000001625115640375
2,SAMSUNG 6 kg 5-star Inverter Fully Automatic Front Load with In-built Heater Silver  (WW60R20GLSS/TL),23490,4.4,available,https://www.flipkart.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-silver/p/itmbe741e42ffe68?pid=WMNFU5XFAYQANNBZ&lid=LSTWMNFU5XFAYQANNBZHZTBVS&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_2&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load&fm=organic&iid=2b6f6ade-f1a5-4d31-8afb-e4b2640eff78.WMNFU5XFAYQANNBZ.SEARCH&ppt=browse&ppn=browse&ssid=xtdou821a80000001625066611168
3,Women Silver Flats Sandal,9700,no rating yet,available,https://www.flipkart.com/kenkoh-women-silver-flats/p/itm98379f0706d6f?pid=SNDGFYUJYFHZKUFH&lid=LSTSNDGFYUJYFHZKUFHMWRGBL&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_1&otracker=nmenu_sub_Women_0_Flats&fm=organic&iid=8bee693e-6ebc-4dac-ab31-27a3835e6910.SNDGFYUJYFHZKUFH.SEARCH&ppt=browse&ppn=browse&ssid=g2tfg3z8dc0000001625216255866
4,"REDMI Note 9 Pro Max (Champagne Gold, 64 GB)  (6 GB RAM)",17399,4.4,available,https://www.flipkart.com/redmi-note-9-pro-max-champagne-gold-64-gb/p/itm437741df5f74c?pid=MOBFV99GD4BZRXFD&lid=LSTMOBFV99GD4BZRXFDPW15QC&marketplace=FLIPKART&q=redmi+note+9+pro+max&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=e4b438b5-c7eb-4d5b-8b39-7005d99771bb.MOBFV99GD4BZRXFD.SEARCH&ppt=None&ppn=None&ssid=5ry2a1xwnk0000001625382274707&qH=a0508e13f08961a6
5,Pristyn care | Adbdomen excerciser | Fat buster |Gym ab excerciser | Core workout Ab Exerciser  (Red),190,4,available,https://www.flipkart.com/pristyn-care-adbdomen-excerciser-fat-buster-gym-ab-core-workout-exerciser/p/itm9007c7e21e9e3?pid=ABEFY9ZXHSHDJC7Z&lid=LSTABEFY9ZXHSHDJC7ZREHYZK&marketplace=FLIPKART&store=qoc%2Famf%2Fsma&srno=b_1_24&otracker=browse&fm=organic&iid=en_X9SIAwZIVc%2FtsoKfUT14bxrAME2j9KAAt1MwDeyT0r4GHFByVx1ReinyVxy13hKZcmJjJocpq540bzIYSu70jg%3D%3D&ppt=None&ppn=None&ssid=7mh1agwjv40000001625419850939
6,"Flipkart SmartBuy 20 Clips Hanging Organizer for Socks, Scarves, Hats, Handkerchiefs, Underwear, Ties, Baby Clothes (PACK OF 1) (Both Wet & Dry Use) Regular Organizer",299,4.5,available,https://flipkart.com/flipkart-smartbuy-20-clips-hanging-organizer-socks-scarves-hats-handkerchiefs-underwear-ties-baby-clothes-pack-1-both-wet-dry-use-regular/p/itm8862c5a858874?pid=HNGG4CYX5ZZB35YJ&lid=LSTHNGG4CYX5ZZB35YJT5KVHM&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_1&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HNGG4CYX5ZZB35YJ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
7,"Flipkart SmartBuy 20 Clips Hanging Organizer for Socks, Scarves, Hats, Handkerchiefs, Underwear, Ties, Baby Clothes (PACK OF 1) (Both Wet & Dry Use) Regular Organizer",299,4.5,available,https://flipkart.com/flipkart-smartbuy-20-clips-hanging-organizer-socks-scarves-hats-handkerchiefs-underwear-ties-baby-clothes-pack-1-both-wet-dry-use-regular/p/itmd0d8603dc4630?pid=HNGG4CFYTFGHAJHC&lid=LSTHNGG4CFYTFGHAJHCAGQFVY&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_2&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HNGG4CFYTFGHAJHC.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
8,Tuelip Set of 20 Wall Hooks Heavy Duty for Hanging 10KG (Max) Magic Stickers Hooks Seamless Transparent Adhesive Hooks for Hanging Keys Coats Hats Bags Ceiling Hook  (Pack of 20),299,3.8,available,https://flipkart.com/tuelip-set-20-wall-hooks-heavy-duty-hanging-10kg-max-magic-stickers-seamless-transparent-adhesive-keys-coats-hats-bags-ceiling-hook/p/itm063b6b7cd583a?pid=HOKG37JZCWGTXUMF&lid=LSTHOKG37JZCWGTXUMF2OE5FG&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_3&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HOKG37JZCWGTXUMF.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
9,Vinod HATS20 Tasla 2.1 L capacity 18 cm diameter  (Hard Anodised),649,3.1,available,https://flipkart.com/vinod-hats20-tasla-2-1-l-capacity-18-cm-diameter/p/itm2b172d6249e2d?pid=PTPFQMHGAQSC8CTG&lid=LSTPTPFQMHGAQSC8CTGXHIHNS&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_4&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.PTPFQMHGAQSC8CTG.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
10,MYYNTI Wall Hooks Heavy Duty Wall Sticker Hooks for Hanging 10KG (Max) Magic Stickers Hooks Transparent Self-Adhesive Hooks for Hanging Keys Coats Hats Bags Ceiling Hook Hook  (Pack of 20),299,3.7,available,https://flipkart.com/myynti-wall-hooks-heavy-duty-sticker-hanging-10kg-max-magic-stickers-transparent-self-adhesive-keys-coats-hats-bags-ceiling-hook/p/itm7f2f03d738bf7?pid=HOKG3MURZYPDDZ7J&lid=LSTHOKG3MURZYPDDZ7JWINEMJ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_5&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HOKG3MURZYPDDZ7J.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
11,"Zildjian ILHSTD Standard Gig Pack (14"" HiHats, 16"" Crash and 20"" Ride) Clash Cymbal",28500,2.7,available,https://flipkart.com/zildjian-ilhstd-standard-gig-pack-14-hihats-16-crash-20-ride-clash-cymbal/p/itmfca917e031734?pid=HNCFWWSWB9VQFMUZ&lid=LSTHNCFWWSWB9VQFMUZDKHIOH&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_6&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HNCFWWSWB9VQFMUZ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
12,"All Those Hats Worn by One 20th Century American Woman  (English, Paperback, Weber Grace Shaw)",1430,2.2,available,https://flipkart.com/all-those-hats-worn-one-20th-century-american-woman/p/itmd3mh2sgzze9h2?pid=9781466231818&lid=LSTBOK9781466231818Y35N49&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_7&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.9781466231818.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
13,"Animal Hats to Knit: 20 Wild Projects for you to Create  (English, Paperback, Roberts Luise)",1421,2.2,available,https://flipkart.com/animal-hats-knit-20-wild-projects-you-create/p/itm3d53ea1016d32?pid=9781861089892&lid=LSTBOK9781861089892NC7GTJ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_8&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.9781861089892.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
14,"20 to Knit: Knitted Hats  (English, Paperback, Russel Monica)",693,2,available,https://flipkart.com/20-knit-knitted-hats/p/itmff94uharphtjg?pid=9781782214533&lid=LSTBOK978178221453334VXGN&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_9&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.9781782214533.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
15,"Workout,, Cycling Bike,, Fashion,, Athletic,, hiphop caps,, Running,, Unisex Caps, classic,, hats, hat,, Hip Hop,, Sports,, Free Size,, Baseball cap,, ,Skull,, Walking,, Flex Fit,, trucker caps, dad caps,, army green cap, snapback Cap,, ,black cap,, girls, boys,, Caps for men and womens,, Military Army, Basketball,, Stylish,, Cricket,, evergreen, Cap",289,3.9,available,https://flipkart.com/ilu-workout-cycling-bike-fashion-athletic-hiphop-caps-running-unisex-caps-classic-hats-hat-hip-hop-sports-free-size-baseball-cap-skull-walking-flex-fit-trucker-dad-army-green-cap-snapback-black-girls-boys-caps-men-womens-military-army-basketball-stylish-cricket-evergreen-cap/p/itm7b6cc3ab59aae?pid=CAPEPRJEBDNJCYH9&lid=LSTCAPEPRJEBDNJCYH9150F3E&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_10&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPEPRJEBDNJCYH9.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
16,"Futurekart Straw Large Brim Beach Floppy Oversize Fold Hat  (White, Pack of 1)",499,4.4,available,https://flipkart.com/futurekart-straw-large-brim-beach-floppy-oversize-fold-hat/p/itmfejyb4gsuxmaz?pid=HATFEJGREAHRZRP3&lid=LSTHATFEJGREAHRZRP3TSHVBX&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_11&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HATFEJGREAHRZRP3.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
17,"ZACHARIAS Fishermen Cotton Bucket Hat Cap  (Blue, Pack of 1)",299,3.8,available,https://flipkart.com/zacharias-fishermen-cotton-bucket-hat-cap/p/itmffhjpcrhuvfve?pid=HATFFJ53TACBRVTY&lid=LSTHATFFJ53TACBRVTYYHISNT&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_12&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HATFFJ53TACBRVTY.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
18,PLAY-DOH Treatsies Single Servings Cupcake Character Tiny Food Toy Craft Kit with 3 Non-Toxic Cans,379,4.6,available,https://flipkart.com/play-doh-treatsies-single-servings-cupcake-character-tiny-food-toy-craft-kit-3-non-toxic-cans/p/itm2bfd976d7f704?pid=ACKFVG4WE8MZSFTF&lid=LSTACKFVG4WE8MZSFTFEINZ62&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_13&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFVG4WE8MZSFTF.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
19,PLAY-DOH Treatsies Single Servings Hot Dog Character Tiny Food Toy Craft Kit with 3 Non-Toxic Cans,379,4.6,available,https://flipkart.com/play-doh-treatsies-single-servings-hot-dog-character-tiny-food-toy-craft-kit-3-non-toxic-cans/p/itmd30ca13ca2fa8?pid=ACKFVG4WND97AJWZ&lid=LSTACKFVG4WND97AJWZP942TB&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_14&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFVG4WND97AJWZ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
20,PLAY-DOH Treatsies Single Servings Bacon Character Tiny Food Toy Craft Kit with 3 Non-Toxic Cans,379,4.6,available,https://flipkart.com/play-doh-treatsies-single-servings-bacon-character-tiny-food-toy-craft-kit-3-non-toxic-cans/p/itm734ce81c5b4c2?pid=ACKFVG5BC4ZZYZBY&lid=LSTACKFVG5BC4ZZYZBYQLPQKZ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_15&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFVG5BC4ZZYZBY.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
21,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff2652jnmreau?pid=CAPFFFPNZZPTHFZG&lid=LSTCAPFFFPNZZPTHFZGOMNNEU&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_16&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNZZPTHFZG.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
22,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmf2d807c0680b5?pid=CAPFFFPNGSCWUMRG&lid=LSTCAPFFFPNGSCWUMRGIFYKNJ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_17&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNGSCWUMRG.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
23,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff265j2g4wzc2?pid=CAPFFFPNXYVVHHFQ&lid=LSTCAPFFFPNXYVVHHFQJGZPAM&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_18&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNXYVVHHFQ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
24,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff265tztqgxeu?pid=CAPFFFPNJQBN7CU5&lid=LSTCAPFFFPNJQBN7CU5C9RIHB&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_19&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNJQBN7CU5.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
